time [s/256],breathing_rate [rpm](/api/datatype/33/),minute_ventilation [mL/min](/api/datatype/36/),sleep_position [NA](/api/datatype/270/),activity [g](/api/datatype/49/),heart_rate [bpm](/api/datatype/19/),cadence [spm](/api/datatype/53/)
388980364187,11,13824.48,,0.015625,104,0
388980364443,11,13824.48,,0.01953125,105,0
388980364699,11,13824.48,,0.03125,105,0
388980364955,11,13824.48,,0.02734375,104,0
388980365211,11,13824.48,,0.03125,104,0
388980365467,11,13824.48,,0.0546875,103,0
388980365723,11,13824.48,,0.0390625,103,0
388980365979,11,10876.32,,0.0546875,103,0
388980366235,10,10876.32,,0.09375,104,0
388980366491,10,10876.32,,0.04296875,104,0
388980366747,9,10876.32,,0.09765625,105,0
388980367003,9,10876.32,,0.0546875,105,0
388980367259,9,11580.16,,0.01953125,105,0
388980367515,9,11580.16,,0.01953125,105,0
388980367771,9,11580.16,,0.03125,106,0
388980368027,9,11580.16,,0.01953125,107,0
388980368283,9,11580.16,,0.02734375,107,0
388980368539,9,11580.16,,0.01953125,107,0
388980368795,9,11580.16,,0.01953125,107,0
388980369051,9,11580.16,,0.03515625,104,0
388980369307,9,11620.0,,0.015625,103,0
388980369563,9,11620.0,,0.01953125,102,0
388980369819,8,11620.0,,0.015625,103,0
388980370075,8,11620.0,,0.015625,103,0
388980370331,8,11620.0,,0.015625,103,0
388980370587,8,11620.0,,0.015625,104,0
388980370843,8,10916.16,,0.015625,104,0
388980371099,9,10916.16,,0.015625,103,0
388980371355,9,10916.16,,0.0234375,103,0
388980371611,9,10916.16,,0.0234375,105,0
388980371867,9,10916.16,,0.0234375,105,0
388980372123,9,10916.16,,0.0234375,105,0
388980372379,9,10916.16,,0.01953125,104,0
388980372635,9,9654.5599999999995,,0.06640625,104,0
388980372891,9,9654.5599999999995,,0.0703125,104,0
388980373147,9,9654.5599999999995,,0.08984375,106,0
388980373403,9,9654.5599999999995,,0.12109375,105,0
388980373659,9,9654.5599999999995,,0.04296875,106,0
388980373915,9,9654.5599999999995,,0.11328125,106,0
388980374171,9,9654.5599999999995,,0.04296875,108,0
388980374427,9,11208.32,,0.0234375,109,0
388980374683,9,11208.32,,0.03125,111,0
388980374939,9,11208.32,,0.02734375,111,0
388980375195,9,10185.76,,0.0390625,112,0
388980375451,9,10185.76,,0.046875,112,0
388980375707,9,10185.76,,0.05078125,112,0
388980375963,9,10185.76,,0.0234375,114,0
388980376219,9,11473.92,,0.03515625,114,0
388980376475,10,11473.92,,0.03125,115,0
388980376731,10,11473.92,,0.02734375,116,0
388980376987,11,11473.92,,0.05859375,117,0
388980377243,11,11473.92,,0.0234375,117,0
388980377499,11,10185.76,,0.0234375,115,0
388980377755,10,10185.76,,0.02734375,114,0
388980378011,11,10079.519999999999,,0.01953125,112,0
388980378267,12,10079.519999999999,,0.03125,111,0
388980378523,12,10079.519999999999,,0.02734375,109,0
388980378779,13,12762.08,,0.046875,109,0
388980379035,13,12762.08,,0.015625,107,0
388980379291,13,12762.08,,0.015625,107,0
388980379547,14,12762.08,,0.01953125,107,0
388980379803,14,12762.08,,0.01953125,108,0
388980380059,14,12762.08,,0.0859375,108,0
388980380315,14,14475.199999999999,,0.0390625,108,0
388980380571,14,14475.199999999999,,0.03515625,108,0
388980380827,14,12987.84,,0.0390625,107,0
388980381083,16,12987.84,,0.05078125,107,0
388980381339,17,12987.84,,0.01953125,107,0
388980381595,17,12987.84,,0.0234375,108,0
388980381851,17,13412.799999999999,,0.01953125,109,0
388980382107,16,13412.799999999999,,0.02734375,110,0
388980382363,16,13412.799999999999,,0.01953125,111,0
388980382619,15,13412.799999999999,,0.0,112,0
388980382875,16,15046.24,,0.05078125,112,0
388980383131,16,15046.24,,0.015625,112,0
388980383387,16,15046.24,,0.015625,112,0
388980383643,16,15046.24,,0.0234375,112,0
388980383899,16,15046.24,,0.0234375,111,0
388980384155,16,15046.24,,0.02734375,111,0
388980384411,16,15046.24,,0.0234375,110,0
388980384667,16,15046.24,,0.0234375,108,0
388980384923,16,15046.24,,0.0,104,0
388980385179,16,13877.599999999999,,0.0234375,103,0
388980385435,15,13877.599999999999,,0.015625,102,0
388980385691,14,13877.599999999999,,0.01953125,102,0
388980385947,13,13877.599999999999,,0.015625,102,0
388980386203,13,13877.599999999999,,0.0234375,102,0
388980386459,13,13877.599999999999,,0.015625,101,0
388980386715,14,13877.599999999999,,0.0,101,0
388980386971,14,13877.599999999999,,0.01953125,102,0
388980387227,14,13877.599999999999,,0.0234375,103,0
388980387483,13,11341.119999999999,,0.04296875,103,0
388980387739,12,11341.119999999999,,0.0234375,104,0
388980387995,11,11341.119999999999,,0.02734375,104,0
388980388251,11,11341.119999999999,,0.03515625,105,0
388980388507,11,11341.119999999999,,0.02734375,105,0
388980388763,11,11341.119999999999,,0.03515625,105,0
388980389019,11,11341.119999999999,,0.02734375,105,0
388980389275,11,8924.1599999999999,,0.01953125,105,0
388980389531,11,8924.1599999999999,,0.01953125,106,0
388980389787,10,8924.1599999999999,,0.08203125,106,0
388980390043,10,8924.1599999999999,,0.078125,106,0
388980390299,10,8924.1599999999999,,0.0546875,106,0
388980390555,10,8924.1599999999999,,0.09375,106,0
388980390811,10,8924.1599999999999,,0.1171875,107,0
388980391067,10,8924.1599999999999,,0.046875,109,0
388980391323,10,10079.519999999999,,0.02734375,110,0
388980391579,10,10079.519999999999,,0.03515625,111,0
388980391835,10,10079.519999999999,,0.0390625,111,0
388980392091,10,10079.519999999999,,0.0234375,112,0
388980392347,10,10079.519999999999,,0.02734375,113,0
388980392603,10,10079.519999999999,,0.03125,115,0
388980392859,10,10079.519999999999,,0.0390625,116,0
388980393115,10,10079.519999999999,,0.03515625,116,0
388980393371,10,9933.4399999999987,,0.03125,116,0
388980393627,9,9933.4399999999987,,0.04296875,115,0
388980393883,9,9933.4399999999987,,0.02734375,115,0
388980394139,8,9933.4399999999987,,0.01953125,116,0
388980394395,8,9933.4399999999987,,0.02734375,115,0
388980394651,8,9933.4399999999987,,0.015625,114,0
388980394907,8,10889.6,,0.03515625,112,0
388980395163,8,10889.6,,0.01953125,111,0
388980395419,8,10889.6,,0.01953125,110,0
388980395675,8,10889.6,,0.03125,108,0
388980395931,8,10889.6,,0.015625,107,0
388980396187,8,10052.959999999999,,0.02734375,108,0
388980396443,8,10052.959999999999,,0.02734375,107,0
388980396699,8,10052.959999999999,,0.0234375,107,0
388980396955,8,10052.959999999999,,0.0234375,107,0
388980397211,8,11354.4,,0.05859375,108,0
388980397467,9,11354.4,,0.05859375,109,0
388980397723,9,11354.4,,0.015625,109,0
388980397979,9,11354.4,,0.015625,109,0
388980398235,9,11354.4,,0.0390625,111,0
388980398491,9,11354.4,,0.0390625,111,0
388980398747,9,11354.4,,0.01953125,111,0
388980399003,9,11354.4,,0.03125,111,0
388980399259,9,11354.4,,0.078125,111,0
388980399515,9,13001.119999999999,,0.0703125,112,0
388980399771,9,13001.119999999999,,0.05078125,112,0
388980400027,9,13001.119999999999,,0.0234375,112,0
388980400283,9,13001.119999999999,,0.01953125,112,0
388980400539,9,13001.119999999999,,0.015625,113,0
388980400795,9,13001.119999999999,,0.015625,114,0
388980401051,9,13001.119999999999,,0.015625,114,0
388980401307,9,13001.119999999999,,0.02734375,114,0
388980401563,9,14010.4,,0.015625,114,0
